stim_id,hue,intensity,kind,bg_r,bg_g,bg_b,center_r,center_g,center_b,true_hue,pred_hue
25,green,0.3,flat,0.5,0.5,0.5,0.0,0.3,0.0,green,white
26,green,0.35,flat,0.5,0.5,0.5,0.0,0.35,0.0,green,white
27,green,0.4,flat,0.5,0.5,0.5,0.0,0.4,0.0,green,white
29,green,0.5,flat,0.5,0.5,0.5,0.0,0.5,0.0,green,white
40,blue,0.05,flat,0.5,0.5,0.5,0.0,0.0,0.05,blue,yellow
61,yellow,0.02,flat,0.5,0.5,0.5,0.02,0.02,0.0,yellow,blue
62,yellow,0.03,flat,0.5,0.5,0.5,0.03,0.03,0.0,yellow,green
63,yellow,0.04,flat,0.5,0.5,0.5,0.04,0.04,0.0,yellow,green
64,yellow,0.05,flat,0.5,0.5,0.5,0.05,0.05,0.0,yellow,green
65,yellow,0.06,flat,0.5,0.5,0.5,0.06,0.06,0.0,yellow,green
67,yellow,0.08,flat,0.5,0.5,0.5,0.08,0.08,0.0,yellow,green
69,yellow,0.1,flat,0.5,0.5,0.5,0.1,0.1,0.0,yellow,green
70,yellow,0.11,flat,0.5,0.5,0.5,0.11,0.11,0.0,yellow,green
71,yellow,0.12,flat,0.5,0.5,0.5,0.12,0.12,0.0,yellow,green
72,yellow,0.13,flat,0.5,0.5,0.5,0.13,0.13,0.0,yellow,green
73,yellow,0.14,flat,0.5,0.5,0.5,0.14,0.14,0.0,yellow,green
74,yellow,0.15,flat,0.5,0.5,0.5,0.15,0.15,0.0,yellow,green
75,yellow,0.16,flat,0.5,0.5,0.5,0.16,0.16,0.0,yellow,green
76,yellow,0.17,flat,0.5,0.5,0.5,0.17,0.17,0.0,yellow,green
78,yellow,0.19,flat,0.5,0.5,0.5,0.19,0.19,0.0,yellow,white
79,yellow,0.2,flat,0.5,0.5,0.5,0.2,0.2,0.0,yellow,white
80,yellow,0.21,flat,0.5,0.5,0.5,0.21,0.21,0.0,yellow,white
81,yellow,0.22,flat,0.5,0.5,0.5,0.22,0.22,0.0,yellow,white
82,yellow,0.23,flat,0.5,0.5,0.5,0.23,0.23,0.0,yellow,white
83,yellow,0.24,flat,0.5,0.5,0.5,0.24,0.24,0.0,yellow,white
84,yellow,0.25,flat,0.5,0.5,0.5,0.25,0.25,0.0,yellow,white
85,yellow,0.26,flat,0.5,0.5,0.5,0.26,0.26,0.0,yellow,white
86,yellow,0.27,flat,0.5,0.5,0.5,0.27,0.27,0.0,yellow,white
87,yellow,0.28,flat,0.5,0.5,0.5,0.28,0.28,0.0,yellow,white
88,yellow,0.29,flat,0.5,0.5,0.5,0.29,0.29,0.0,yellow,white
