epoch,train_loss,train_acc,val_loss,val_acc,val_auc,lr,time_s
1,0.1888922467082739,0.96,0.14029100328683852,0.94,,0.0009997532801828658,0.9579248428344727
2,0.0691010168001958,0.985,0.06749616268090904,0.98,,0.0009990133642141358,1.9175689220428467
3,0.03407543864217587,1.0,0.16817347437143326,0.94,,0.00099778098230154,2.8837249279022217
4,0.030155813201449746,0.995,0.0967602180549875,0.96,,0.000996057350657239,3.8110878467559814
5,0.016505429723747512,0.995,0.14808075610548257,0.96,,0.0009938441702975688,4.731823682785034
6,0.01162240489712417,1.0,0.1573059614864178,0.96,,0.0009911436253643444,5.653679847717285
7,0.011148073279764503,1.0,0.23302628397941588,0.94,,0.0009879583809693736,6.601789951324463
8,0.014839100122917443,0.995,0.2542326870560646,0.94,,0.0009842915805643154,7.552154779434204
9,0.008467758222614065,1.0,0.22058086585835554,0.96,,0.0009801468428384714,8.490127801895142
10,0.00626418842941348,1.0,0.23543936255457085,0.96,,0.0009755282581475767,9.441045999526978
