epoch,train_loss,train_acc,val_loss,val_acc,val_auc,lr,time_s
1,0.5829880745708942,0.675,0.24509710669517518,0.86,,0.0009997532801828658,1.0441131591796875
2,0.27047580391168596,0.935,0.07795003667473793,0.96,,0.0009990133642141358,2.025966167449951
3,0.20972875706851482,0.94,0.05288520067930222,0.98,,0.00099778098230154,3.004033088684082
4,0.17527737759053708,0.97,0.04141690969467163,0.98,,0.000996057350657239,4.0144641399383545
5,0.12137990951538086,0.975,0.029724443852901457,1.0,,0.0009938441702975688,5.002071142196655
6,0.13447085864841937,0.98,0.03867157481610775,1.0,,0.0009911436253643444,6.033426284790039
7,0.08614064447581768,0.985,0.03229169696569443,0.98,,0.0009879583809693736,7.0574541091918945
8,0.070902861058712,0.99,0.024472378063946962,1.0,,0.0009842915805643154,8.084307432174683
9,0.04511482171714306,0.995,0.005906728119589389,1.0,,0.0009801468428384714,9.079251289367676
10,0.030514847342856227,1.0,0.004326993748545647,1.0,,0.0009755282581475767,10.081634283065796
11,0.07165779102127999,0.99,0.002057687271735631,1.0,,0.0009704403844771127,11.075918197631836
12,0.020137513466179372,0.995,0.0009629593353020027,1.0,,0.0009648882429441257,12.110755205154419
13,0.037124115212600374,0.99,0.0008773519634269178,1.0,,0.0009588773128419905,13.191067218780518
14,0.01222276980872266,0.995,0.0020774147182237358,1.0,,0.0009524135262330098,14.2364821434021
15,0.011704047999810428,1.0,0.0012839138756680767,1.0,,0.0009455032620941839,15.271177053451538
16,0.009216010336022009,1.0,0.002149358154492802,1.0,,0.0009381533400219318,16.268359184265137
17,0.007183245953274309,1.0,0.0006201696854623151,1.0,,0.0009303710135019719,17.281784296035767
18,0.00501745751244016,1.0,0.000756148013206257,1.0,,0.0009221639627510076,18.332963228225708
19,0.003959273139480501,1.0,0.07222841658205653,0.98,,0.000913540287137281,19.374988079071045
20,0.00321937494572399,1.0,0.0024060155376628245,1.0,,0.0009045084971874739,20.408218145370483
21,0.0027672017436928065,1.0,0.06316188562104799,0.98,,0.0008950775061878453,21.415435075759888
22,0.002347869270524825,1.0,7.021572999292402e-05,1.0,,0.0008852566213878948,22.422661304473877
23,0.001988019536383945,1.0,0.0017939321376570661,1.0,,0.0008750555348152299,23.43694019317627
24,0.0018738634167607415,1.0,4.221151198521511e-05,1.0,,0.0008644843137107058,24.437864303588867
25,0.002022534609895956,1.0,2.9433326412799944e-05,1.0,,0.0008535533905932738,25.42101216316223
26,0.0018795097090901435,1.0,0.00035463948734104633,1.0,,0.0008422735529643445,26.410420179367065
27,0.0018677948317781556,1.0,0.00040239380090497436,1.0,,0.000830655932661826,27.40025520324707
28,0.0016740149713661261,1.0,0.00014750657603144647,1.0,,0.000818711994874345,28.368234157562256
29,0.0013200765885513143,1.0,1.0701543214963748e-05,1.0,,0.0008064535268264884,29.35518217086792
30,0.0010429195804522351,1.0,7.851321656744403e-06,1.0,,0.0007938926261462368,30.326296091079712
31,0.0009206872352524443,1.0,6.515473286299311e-06,1.0,,0.0007810416889260655,31.290348052978516
32,0.000793071059806325,1.0,5.716997120543965e-06,1.0,,0.0007679133974894984,32.24774718284607
33,0.0007182669343143289,1.0,6.295165833307692e-06,1.0,,0.0007545207078751858,33.19368028640747
34,0.0006296463891453641,1.0,6.140410802686347e-06,1.0,,0.0007408768370508578,34.14614510536194
35,0.0006003630423506439,1.0,6.835446646391574e-06,1.0,,0.0007269952498697736,35.09638237953186
36,0.0005385937401763386,1.0,6.217529375476261e-06,1.0,,0.0007128896457825365,36.061092138290405
37,0.0004980972530677264,1.0,6.25680943670659e-06,1.0,,0.0006985739453173904,37.06284809112549
38,0.00046262401068815963,1.0,6.430070262410936e-06,1.0,,0.0006840622763423392,38.07391023635864
39,0.0004305447717229072,1.0,6.937188862323751e-06,1.0,,0.0006693689601226459,39.08813714981079
